City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Dikson,RU,41.31,overcast clouds,73.5069,80.5464,
135,Bredasdorp,ZA,41.32,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
462,Tiksi,RU,40.08,overcast clouds,71.6872,128.8694,Arktika
